ticker,name,sector,chain,mcap_eok,tags,evidence,status
323280,"태성",semi,"전공정 장비",13879.51,"","PCB·반도체 습식세정·식각장비",admitted
127120,"제이에스링크",semi,"공정 부품·유지관리",12045.98,"","반도체 장비 부품·기술서비스",admitted
388210,"씨엠티엑스",semi,"공정 부품·유지관리",7163.59,"","SiC 포커스링",admitted
031330,"에스에이엠티",semi,"반도체 유통",8349.59,"","반도체·IT 유통",admitted
024850,"HLB이노베이션",semi,"기판·패키징 소재",4353.41,"바이오","리드프레임",admitted
383310,"에코프로에이치엔",semi,"팹 인프라·지원설비",4656.43,"","클린룸 필터",admitted
029460,"케이씨",semi,"팹 인프라·지원설비",4551.48,"","가스공급장치",admitted
015360,"INVENI",semi,"전공정 장비",3924.00,"","건식식각장비",admitted
170920,"엘티씨",semi,"공정 소재",3554.83,"","세정·박리액",admitted
032820,"우리기술",nuclear,"계측·제어",23965.23,"","원전 MMIS — 빈 그룹 계측·제어 충원",admitted
126720,"수산인더스트리",nuclear,"정비·운영지원",3100.06,"","경상정비",admitted
089860,"롯데렌탈",auto,"유통·모빌리티 서비스",17755.29,"","롯데렌탈",admitted
004700,"조광피혁",auto,"차체·내외장",4395.08,"","카시트 가죽",admitted
448900,"한국피아이엠",auto,"섀시·안전",3444.22,"","MIM",admitted
033790,"피노",battery,"제조·검사 장비",6665.75,"","전지 장비",admitted
009450,"경동나비엔",elec,"가전·생활기기",8930.55,"","보일러",admitted
025320,"시노펙스",elec,"전자부품·기판",3536.67,"","FPCB·필터",admitted
079900,"전진건설로봇",machinery,"건설기계",6034.02,"건설로봇","펌프카",admitted
014830,"유니드",chemical,"정밀·특수화학",4087.63,"","칼륨화학",admitted
950260,"인제니아테라퓨틱스(Reg.S)",bio,"신약개발",9132.42,"","망막 신약",admitted
187660,"페니트리움바이오",bio,"신약개발",4177.00,"","세포·유전자",admitted
386380,"스카이랩스",medtech,"생체측정·모니터링",3647.33,"","웨어러블",admitted
484870,"엠앤씨솔루션",defense,"소재·핵심부품",5217.72,"","유압구동",admitted
368770,"파이버프로",defense,"방산전자·센서",4612.73,"","FOG",admitted
452260,"한화갤러리아",kconsume,"유통",5195.44,"","백화점",admitted
194370,"제이에스코퍼레이션",kconsume,"의류 제조",3685.13,"","의류 ODM",admitted
006730,"서부T&D",travel,"호텔·리조트",7102.60,"","호텔",admitted
064260,"다날",software,"결제·데이터 인프라",3362.44,"핀테크","PG — finance 교차 근거 부족으로 software만",admitted
499790,"GS피앤엘",holdings,"에너지·화학",7634.87,"사업형","GS피앤엘",admitted
034310,"NICE",holdings,"금융",4418.21,"투자중심","NICE",admitted
008060,"대덕",holdings,"IT·전자",4439.64,"투자중심","대덕",admitted
